,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
189908,2223,T1,2022-10-17,Ankaragucu,Fenerbahce,0.0,3.0,A,0.0,2.0,A,8.0,10.0,1.0,5.0,12.0,15.0,5.0,2.0,2.0,1.0,0.0,0.0,5.05,4.1,1.68
189912,2223,T1,2022-10-17,Sivasspor,Giresunspor,3.0,0.0,H,2.0,0.0,H,16.0,11.0,6.0,1.0,10.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,2.09,3.45,3.77
189963,2223,T1,2022-10-21,Antalyaspor,Istanbulspor,2.0,1.0,H,1.0,1.0,D,20.0,11.0,8.0,6.0,11.0,15.0,11.0,4.0,3.0,6.0,0.0,1.0,1.79,3.95,4.61
190040,2223,T1,2022-10-22,Fenerbahce,Buyuksehyr,1.0,0.0,H,0.0,0.0,D,14.0,3.0,3.0,1.0,19.0,19.0,6.0,3.0,1.0,2.0,0.0,0.0,1.95,3.79,3.96
190041,2223,T1,2022-10-22,Trabzonspor,Sivasspor,1.0,0.0,H,1.0,0.0,H,15.0,12.0,4.0,5.0,17.0,16.0,4.0,3.0,2.0,2.0,0.0,0.0,1.62,4.22,5.63
190042,2223,T1,2022-10-22,Umraniyespor,Karagumruk,1.0,3.0,A,1.0,1.0,D,9.0,12.0,1.0,6.0,13.0,14.0,5.0,4.0,0.0,3.0,0.0,0.0,2.53,3.55,2.8
190109,2223,T1,2022-10-23,Kasimpasa,Kayserispor,0.0,1.0,A,0.0,1.0,A,27.0,11.0,11.0,3.0,11.0,19.0,10.0,6.0,2.0,1.0,0.0,0.0,2.24,3.57,3.32
190111,2223,T1,2022-10-23,Galatasaray,Alanyaspor,2.0,2.0,D,2.0,0.0,H,18.0,15.0,12.0,6.0,12.0,10.0,7.0,5.0,3.0,3.0,2.0,0.0,1.57,4.59,5.65
190126,2223,T1,2022-10-23,Ad. Demirspor,Konyaspor,1.0,1.0,D,1.0,1.0,D,24.0,12.0,4.0,4.0,12.0,17.0,2.0,2.0,1.0,6.0,0.0,0.0,2.21,3.56,3.39
190144,2223,T1,2022-10-24,Hatayspor,Besiktas,2.0,1.0,H,0.0,1.0,A,8.0,18.0,3.0,4.0,9.0,10.0,1.0,11.0,4.0,2.0,0.0,0.0,5.02,4.24,1.66
190145,2223,T1,2022-10-24,Giresunspor,Ankaragucu,1.0,1.0,D,0.0,0.0,D,17.0,8.0,7.0,3.0,12.0,17.0,5.0,2.0,3.0,5.0,0.0,0.0,2.42,3.33,3.14
190203,2223,T1,2022-10-28,Karagumruk,Galatasaray,0.0,2.0,A,0.0,0.0,D,6.0,35.0,1.0,12.0,9.0,13.0,3.0,11.0,2.0,1.0,1.0,0.0,4.21,3.89,1.87
190263,2223,T1,2022-10-29,Alanyaspor,Gaziantep,2.0,0.0,H,1.0,0.0,H,9.0,15.0,5.0,4.0,13.0,8.0,1.0,4.0,2.0,1.0,0.0,0.0,1.96,4.02,3.69
190289,2223,T1,2022-10-29,Konyaspor,Kasimpasa,1.0,1.0,D,0.0,0.0,D,17.0,7.0,3.0,1.0,16.0,18.0,6.0,2.0,4.0,5.0,0.0,0.0,1.72,3.96,5.08
190358,2223,T1,2022-10-30,Besiktas,Umraniyespor,5.0,2.0,H,2.0,1.0,H,16.0,9.0,10.0,3.0,16.0,10.0,9.0,4.0,2.0,3.0,0.0,0.0,1.35,5.62,8.79
190362,2223,T1,2022-10-30,Istanbulspor,Fenerbahce,2.0,5.0,A,0.0,2.0,A,4.0,13.0,2.0,7.0,15.0,12.0,2.0,2.0,1.0,1.0,0.0,0.0,6.91,4.56,1.5
190363,2223,T1,2022-10-30,Kayserispor,Ad. Demirspor,2.0,2.0,D,0.0,1.0,A,11.0,14.0,6.0,5.0,17.0,12.0,8.0,3.0,3.0,2.0,0.0,0.0,3.06,3.5,2.41
190370,2223,T1,2022-10-30,Ankaragucu,Hatayspor,4.0,1.0,H,1.0,0.0,H,17.0,6.0,9.0,1.0,6.0,9.0,6.0,5.0,2.0,1.0,0.0,0.0,2.06,3.61,3.76
190375,2223,T1,2022-10-31,Sivasspor,Antalyaspor,0.0,2.0,A,0.0,2.0,A,6.0,7.0,0.0,3.0,9.0,10.0,2.0,3.0,2.0,2.0,0.0,0.0,2.32,3.26,3.38
190376,2223,T1,2022-10-31,Buyuksehyr,Giresunspor,3.0,1.0,H,1.0,0.0,H,14.0,11.0,4.0,4.0,19.0,13.0,2.0,4.0,1.0,2.0,0.0,0.0,1.51,4.13,7.39
190433,2223,T1,2022-11-04,Umraniyespor,Alanyaspor,3.0,1.0,H,2.0,0.0,H,12.0,8.0,6.0,3.0,7.0,12.0,4.0,7.0,1.0,2.0,0.0,0.0,2.62,3.7,2.66
190434,2223,T1,2022-11-04,Kasimpasa,Ankaragucu,1.0,1.0,D,0.0,0.0,D,11.0,12.0,3.0,2.0,8.0,12.0,4.0,0.0,1.0,2.0,0.0,0.0,2.57,3.54,2.82
190452,2223,T1,2022-11-05,Galatasaray,Besiktas,2.0,1.0,H,1.0,1.0,D,19.0,12.0,5.0,5.0,15.0,13.0,10.0,7.0,3.0,4.0,0.0,0.0,2.14,3.74,3.39
190487,2223,T1,2022-11-05,Giresunspor,Istanbulspor,3.0,2.0,H,1.0,1.0,D,16.0,12.0,4.0,3.0,4.0,13.0,9.0,2.0,1.0,5.0,0.0,1.0,1.91,3.68,4.27
190537,2223,T1,2022-11-06,Antalyaspor,Karagumruk,4.0,2.0,H,3.0,2.0,H,22.0,16.0,7.0,7.0,17.0,17.0,9.0,1.0,1.0,3.0,0.0,0.0,1.98,3.7,3.84
190538,2223,T1,2022-11-06,Gaziantep,Kayserispor,1.0,2.0,A,0.0,1.0,A,16.0,12.0,4.0,5.0,10.0,15.0,4.0,6.0,3.0,5.0,0.0,0.0,2.35,3.4,3.25
190551,2223,T1,2022-11-06,Trabzonspor,Konyaspor,2.0,2.0,D,2.0,1.0,H,21.0,10.0,8.0,5.0,13.0,16.0,5.0,3.0,3.0,6.0,0.0,1.0,1.89,3.64,4.43
190580,2223,T1,2022-11-07,Hatayspor,Buyuksehyr,3.0,3.0,D,1.0,0.0,H,8.0,11.0,5.0,4.0,12.0,10.0,1.0,5.0,3.0,3.0,0.0,0.0,4.51,3.68,1.85
190581,2223,T1,2022-11-07,Fenerbahce,Sivasspor,1.0,0.0,H,0.0,0.0,D,12.0,8.0,3.0,3.0,18.0,23.0,2.0,3.0,7.0,5.0,1.0,0.0,1.34,5.4,9.33
190662,2223,T1,2022-11-11,Alanyaspor,Ad. Demirspor,0.0,0.0,D,0.0,0.0,D,16.0,9.0,4.0,1.0,21.0,11.0,4.0,6.0,4.0,1.0,0.0,1.0,3.0,3.77,2.33
190663,2223,T1,2022-11-11,Ankaragucu,Trabzonspor,1.0,1.0,D,0.0,0.0,D,10.0,9.0,1.0,3.0,11.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0,3.16,3.42,2.39
190739,2223,T1,2022-11-12,Buyuksehyr,Galatasaray,0.0,7.0,A,0.0,3.0,A,10.0,16.0,3.0,10.0,14.0,15.0,2.0,6.0,2.0,2.0,0.0,0.0,2.84,3.47,2.59
190740,2223,T1,2022-11-12,Fenerbahce,Giresunspor,1.0,2.0,A,1.0,0.0,H,16.0,9.0,4.0,4.0,16.0,18.0,6.0,3.0,3.0,3.0,1.0,0.0,1.3,5.9,10.94
